№;Термін українською;Визначення;Термін англійською;Пов'язані терміни (№)
11;Біометрична ідентифікація;Автоматизоване розпізнавання фізичних, фізіологічних, поведінкових або психологічних особливостей людини з метою встановлення її особи шляхом порівняння її біометричних даних з біометричними даними осіб, що зберігаються в базі даних;Biometric identification;9, 10
12;Безпека ШІ;Властивість системи ШІ, що полягає у здатності протидіяти загрозам порушення поведінки моделі або несанкціонованого отримання даних чи параметрів під час роботи. Безпека системи ШІ є одним з аспектів безпеки інформаційних систем.;Security;53, 67, 92
13;Бенчмарк;Стандартизований тест або набір задач, що використовується для оцінювання та порівняння продуктивності, ефективності чи якості різних систем, алгоритмів або моделей.;Benchmark;54, 79, 73, 96, 97
14;Валідаційні дані;Дані, які використовуються для налаштування гіперпараметрів моделі (наприклад архітектури), оцінювання якості моделі та прийняття рішень у процесі розробки моделі.;Validation or development data;27, 70, 93, 98
15;Велика мовна модель (ВММ);Клас мовних моделей, які використовують алгоритми глибокого навчання та навчаються на великих наборах даних, котрі можуть містити не тільки текст, але й інші модальності (зображення, аудіо тощо).;Large language model (LLM);24, 25, 26, 33, 41, 46, 56, 69, 94
16;Великі дані;Загальний термін для великих, комплексних наборів цифрових даних, зберігання, аналіз, керування та обробка яких потребують таких самих комплексних технологічних засобів і значної обчислювальної потужності.;Big data;-
17;Вимірюваність;Властивість системи ШІ, що дозволяє виміряти її параметри або властивості.;Measurability;1, 6, 8, 31, 42, 58, 66, 76, 78, 89, 92
18;Відтворюваність;Отримання наближеного результату за таких самих вхідних даних, гіперпараметрів, методів та умов проведення експерименту.;Reproducibility;19, 27, 74
19;Відстежуваність;Властивість системи ШІ, що дозволяє людині відстежувати процеси зміни структури, змісту та операційних характеристик моделі і тренувальних даних.;Traceability;18, 27, 74
20;Відкритість до втручання;Властивість системи ШІ, що надає можливість суб'єктам даних здійснювати нагляд, керувати та контролювати, як і ким обробляються їхні дані.;Intervenability;1, 6, 8, 17, 31, 42, 58, 66, 76, 78, 89, 92
21;Відповідальний ШІ;Набір принципів, застосовних на всіх етапах життєвого циклу системи ШІ з метою узгодження з людськими цінностями, зменшення ризиків та негативних наслідків, пов'язаних із використанням ШІ, та з одночасною максимізацією позитивних результатів.;Responsible AI;12, 58, 78, 91
22;Вхід (вхідні дані);Дані, що надаються моделі або системі ШІ.;Input;23, 55, 87
23;Вихід (вихідні дані);Дані, які створюються моделлю чи системою ШІ в результаті обробки вхідних даних.;Output;22, 55, 87
24;Галюцинування;Феномен, за якого результат роботи системи генеративного ШІ містить неточну або хибну інформацію, що оманливо представлена як достовірна.;Hallucination;15, 25, 26, 41, 46, 56, 69, 94
25;Генеративний штучний інтелект (генеративний ШІ);Різновид ШІ, який застосовується для створення нового контенту, включаючи аудіо, код, зображення, текст, відео тощо.;Generative Artificial Intelligence (generative AI);15, 24, 26, 36, 40, 41, 46, 56, 88, 94
26;Генерування, доповнене пошуком;Підхід, який поєднує можливості великих мовних моделей з механізмом пошуку та отримання інформації із зовнішніх джерел для генерування кінцевої відповіді.;Retrieval Augmented Generation (RAG);15, 24, 25, 36, 40, 41, 56, 69, 94
27;Гіперпараметр;Налаштування алгоритму машинного навчання, які встановлюються перед початком навчання і не змінюються в процесі та які контролюють процес навчання та структуру моделі.;Hyperparameter;52, 71
28;Грамотність у галузі ШІ;Знання, уміння та навички, які дозволяють постачальникам, розробникам, користувачам і особам, які зазнають впливу системи ШІ, беручи до уваги їхні відповідні права та обов'язки, оцінити можливості, ризики та потенційну шкоду, яку може завдати система ШІ на будь-якому етапі її життєвого циклу та вживати заходів для її уникнення чи пом'якшення.;AI literacy;-
29;Глибоке навчання (іноді вживають глибинне навчання);Галузь машинного навчання, яка присвячена тренуванню моделей, таких як нейронні мережі, що складаються з багатьох шарів.;Deep learning;105
30;Дипфейк (глибока підробка);Контент, згенерований або відредагований за допомогою ШІ, який нагадує реальних людей, об'єкти, місця, інші сутності або події, та вводить в оману щодо справжності або правдивості.;Deep fake;25, 29, 43
31;Довірчий ШІ;Властивість системи, яка містить три компоненти на всіх етапах життєвого циклу: законність, етичність, робастність (з технічної та соціальної точки зору).;Trustworthy AI;1, 6, 8, 17, 42, 58, 66, 76, 78, 89, 92
32;Дискримінація;Умисне або випадкове відмінне ставлення до особи та/або групи осіб за ознакою етнічного чи соціального походження, громадянства, національності, раси, релігії та вірувань, віку, статі, сексуальної орієнтації, ґендерної ідентичності, інвалідності або за іншими ознаками, що призводить до обмеження у визнанні, реалізації або користуванні правами і свободами або до надання привілеїв у будь-якій формі, крім випадків, коли такі обмеження або привілеї мають правомірну об'єктивно обґрунтовану мету, способи досягнення якої є належними, необхідними та пропорційними.;Discrimination;99, 104
33;Ембединги;Векторні представлення слів, фраз, документів чи інших об'єктів у багатовимірному просторі.;Embeddings;15, 24, 25, 26, 36, 40, 41, 56, 69, 94
34;Етика за проєктуванням;Підхід до технологічної етики та ключовий компонент відповідальних інновацій, який спрямований на інтеграцію етики на етапі проєктування та розробки системи ШІ. Іноді формулюється як «вбудовування цінностей у дизайн». Подібними термінами є «дизайн, що враховує цінності» та «етичноорієнтований дизайн».;Ethics by design;77
35;Життєвий цикл системи ШІ;"Процес створення та експлуатації системи ШІ, що зазвичай має кілька етапів (не обов'язково в цій послідовності): 1) планування та проєктування; 2) збір і обробку даних; 3) створення моделі та/або адаптацію наявних моделей до конкретних завдань; 4) тестування та оцінювання; 5) розгортання; 6) експлуатація та моніторинг; 7) завершення використання та згортання системи.";AI system lifecycle;-
36;Запит (промпт);Вхідний текст, інструкція або завдання для системи ШІ, на які система має відреагувати шляхом генерування контенту.;Prompt;22, 25, 40
37;Істинно позитивне;Випадок, для якого модель правильно передбачила позитивний клас.;True Positive (TP);38, 54, 79, 73, 96, 97, 102, 103
38;Істинно негативне;Випадок, для якого модель правильно передбачила негативний клас.;True Negative (TN);37, 54, 79, 73, 96, 97, 102, 103
39;Інженерія ознак;Виокремлення ознак із необроблених даних, тобто виокремлення числових представлень даних, і перетворення їх на формати, придатні для моделей машинного навчання.;Feature engineering;52
40;Інженерія запитів (промпт-інженерія);Процес розробки та вдосконалення запитів для моделей ШІ з метою отримання бажаних результатів.;Prompt engineering;22, 25
41;Контекстне вікно;Максимальна кількість токенів, яку ВММ може обробити одночасно для розуміння контексту та інструкцій (вхідні токени) та генерування відповіді (вихідні токени).;Context window;15, 24, 25, 26, 36, 40, 46, 56, 69, 94
42;Контрольованість;Властивість системи, яка дозволяє суб'єкту (фізичній або юридичній особі, державному органу тощо) втручатися у функціонування системи ШІ, самостійно чи спільно з іншими визначати цілі та засоби контролю такої системи та даних.;Controllability;1, 2, 3, 6, 8, 17, 31, 58, 66, 76, 78, 89, 92
43;Комп'ютерний зір;Напрям ШІ, який зосереджується на обробці, аналізі та генеруванні візуальної інформації (зображень, відео тощо).;Computer vision;69, 84
44;Класифікація;Задача машинного навчання, що полягає у віднесенні об'єкта до однієї з попередньо визначених категорій на основі його характеристик.;Classification;45, 52, 60, 62, 81
45;Кластеризація;Задача машинного навчання, що полягає у групуванні схожих об'єктів на основі їхніх характеристик.;Clustering;44, 52, 60, 61, 81
46;Ланцюжок міркувань;Техніка формулювання запитів до великих мовних моделей, яка спонукає модель покроково демонструвати процес прийняття рішень або пошуку відповіді на запит.;Chain-of-Thought (CoT);15, 24, 26, 36, 40, 41, 56, 69, 94
47;Людські цінності;Якості, об'єкти та їхні властивості, які втілюють людські суспільні ідеали, смисли і блага, а також відіграють роль керівних принципів впродовж життєвого циклу системи ШІ. Панівні людські цінності змінюються в міру розвитку суспільства. Для Європейського Союзу у 20-х роках ХХІ століття такими цінностями є, передусім, права людини, демократія, верховенство права, а також сталий розвиток, безпечне довкілля, біорізноманіття, культурне різноманіття, інклюзивність та інші.;Human values for AI;21, 48
48;Людиноцентричий ШІ;Підхід до ШІ протягом усього життєвого циклу, ґрунтований на людських цінностях, який надає перевагу розширенню, а не заміні можливостей людей.;Human-centric AI;47
49;Людина в циклі;Можливість втручання людини на будь-якому етапі прийняття рішень системою ШІ.;Human-in-the-loop;50, 51
50;Людина над циклом;Можливість та втручання людини на етапі проєктування системи ШІ та моніторингу її роботи.;Human-on-the-loop;49, 51
51;Людина поза циклом;Можливість участі людини лише у встановленні нових обмежень та цілей системи ШІ, яка автоматично приймає рішення і коригує свою поведінку, зокрема, на основі зворотного зв'язку від людини.;Human-out-of-the-loop;49, 50
52;Машинне навчання;Галузь ШІ, що навчається приймати рішення, налаштовуючи параметри математичних моделей відповідно до даних спостереження.;Machine learning;29, 44, 45, 53, 55, 60, 61, 62, 71, 81, 85, 100
53;Машинне навчання з протидією;Галузь досліджень та практики ШІ, яка вивчає вразливості систем ШІ до навмисних атак та розробляє методи для підвищення їхньої стійкості.;Adversarial machine learning;12, 52, 92
54;Міра F1;Метрика, яка поєднує точність і повноту в одне значення шляхом обчислення їх гармонічного середнього.;F1-Score;37, 38, 79, 73, 96, 97, 102, 103
55;Модель;Програмне забезпечення або математичний вираз, що містить параметри, які можна налаштовувати і які визначають його поведінку. Ці параметри зазвичай налаштовуються за допомогою алгоритмів машинного навчання;Model;52
56;Мовна модель;Модель машинного навчання, яка натренована оцінювати ймовірності послідовності слів чи символів. Після тренування вона може генерувати або закінчувати послідовності на основі вивчених закономірностей природної мови.;Language model;15, 24, 26, 33, 41, 46, 69, 94
57;Метадані;Дані, які описують інші дані.;Metadata;59, 63, 65, 90
58;Надійність;Властивість системи ШІ працювати згідно з визначеними вимогами та цілями протягом певного часу без збоїв.;Reliability;1, 6, 8, 17, 31, 42, 66, 76, 78, 89, 92
59;Набір даних / датасет;Сукупність даних, яку використовують для тренування, оцінювання (валідації) та тестування алгоритмів та моделей.;Dataset;7, 57, 63, 65, 90, 93, 98
60;Навчання без учителя (некероване навчання, неконтрольоване навчання, навчання без нагляду);Тип машинного навчання, у якому алгоритм налаштовує модель в умовах відсутності заданих результатів (міток).;Unsupervised learning;52, 61, 62
61;Навчання з підкріпленням;Тип машинного навчання, де агент оптимізує свою поведінку в певному середовищі за рахунок навчання на сигналах зворотного зв'язку, таких як винагороди або покарання за їхні дії, з метою максимізації отриманої винагороди відповідно до визначених цілей системи.;Reinforcement learning;52, 60, 62
62;Навчання з учителем (контрольоване навчання, навчання з наглядом);Тип машинного навчання, у якому алгоритм налаштовує модель шляхом порівняння результатів обробки вхідних даних моделлю із заданими вчителем результатами. Задані вчителем результати також називають «мітками».;Supervised learning;52, 60, 61
63;Напівструктуровані дані;Дані, які поєднують елементи як структурованих, так і неструктурованих даних.;Semi-structured data;57, 59, 65, 90
64;Наука про дані;Міждисциплінарна галузь, що поєднує методи статистики, машинного навчання, аналізу даних та програмування для аналізу великих обсягів даних з метою отримання нових знань.;Data Science;-
65;Неструктуровані дані;Дані, які не мають попередньо визначеної моделі, не організовані заздалегідь у визначений спосіб.;Unstructured data;57, 59, 63, 90
66;Непрозорість;Властивість системи, яка не забезпечує прозорості поведінки, процесів, походження наборів даних, функцій, результатів, внаслідок чого вони недоступні або незрозумілі.;Opacity;8, 17, 31, 42, 58, 76, 78, 89, 92
67;Отруєння даних;Тип атаки, за якої тренувальні дані змінюють з метою негативного впливу на модель машинного навчання, змушуючи її вивчати те, чого вона не повинна вивчати.;Data poisoning;12, 53, 92
68;Обчислювальний ресурс;В контексті хмарних обчислень: Хмарний або локальний сервіс, як-от віртуальна машина, що використовується для виконання обчислювальних завдань.;Compute;-
69;Обробка природної мови;Напрям ШІ, який зосереджується на обробці, аналізі та генерування людської мови.;Natural language processing;15, 56
70;Оцінювання (валідація) Перевірка (валідація);Оцінювання (в навчанні моделі ШІ) — аналіз якості моделі в процесі її розробки, зазвичай використовуючи дані для оцінювання (також валідаційні або розробницькі). Також Перевірка (в інженерії систем ШІ) — набір дій, які допомагають пересвідчитися, що система придатна до використання за своїм призначенням та здатна досягти запланованих цілей і виконати завдання (тобто відповідати вимогам стейкголдерів) у визначеному операційному середовищі.;Validation;14
71;Параметр;Змінна моделі, яка оптимізується під час процесу машинного навчання.;Parameter;27, 52
72;Поінформована згода;Вільно надане, конкретне, недвозначне та добровільне вираження суб'єктом бажання взаємодіяти з системою ШІ в реальних умовах після того, як він був поінформований про всі аспекти взаємодії з системою ШІ на відповідному етапі життєвого циклу системи ШІ, які мають відношення до рішення суб'єкта брати участь.;Informed consent;35, 87
73;Повнота (Чутливість);Метрика, що вимірює здатність моделі знаходити всі релевантні позитивні випадки в наборі даних.;Recall (Sensitivity);37, 38, 54, 79, 96, 97, 102, 103
74;Повторюваність;Отримання схожого результату при використанні схожих методів та умов проведення експерименту.;Replicability;19, 18
75;Пояснюваний ШІ (ХАІ);Підхід у галузі ШІ, спрямований на створення моделей та систем ШІ, чиї дії та рішення може зрозуміти та інтерпретувати людина.;Explainable AI (XAI);76
76;Пояснюваність;Властивість системи ШІ доступно пояснювати свої дії, рішення, рекомендації, результати або спосіб прийняття рішень.;Explainability;8, 17, 31, 42, 58, 66, 78, 89, 92
77;Приватність за проєктуванням;Вбудовування заходів із забезпечення поваги до приватного життя та технологій підвищення приватності безпосередньо під час проєктування систем ШІ.;Privacy by design;34
78;Прозорість;Властивість системи ШІ, яка полягає у відстежуваності та пояснюваності і передбачає повідомлення користувачів про те, що вони взаємодіють із системою ШІ та належне інформування користувачів та осіб, які зазнають впливу систем ШІ, про їхні права, а також про можливості та обмеження цієї системи ШІ.;Transparency;8, 17, 31, 42, 58, 66, 76, 89, 92
79;Підтримка;Метрика, що визначає кількість фактичних випадків кожного класу в наборі даних.;Support;37, 38, 54, 73, 96, 97, 102, 103
80;Пісочниця;Контрольоване ізольоване середовище для всіх етапів життєвого циклу систем ШІ, компʼютерних програм або інших інформаційних систем без ризику для основної системи.;Sandbox;87
81;Регресія;Задача машинного навчання, спрямована на оцінювання вихідного числового значення на основі набору характеристик вхідних даних.;Regression;44, 45, 52, 62
82;Ризик;Поєднання ймовірності настання шкоди та тяжкості цієї шкоди.;Risk;-
83;Робастність;Властивість системи ШІ підтримувати правильну та надійну роботу за різних умов.;Robustness;58
84;Робототехніка;Напрям ШІ, що фокусується на розробці алгоритмів та систем для створення роботів, здатних аналізувати середовище, приймати рішення та діяти автономно у фізичному світі.;Robotics;43, 69
85;Розмічування даних;Процес присвоєння міток або категорій елементам набору даних у задачах машинного навчання з учителем.;Data labelling;52, 62
86;Скрейпінг;Це процес автоматизованого збору даних з Інтернету за допомогою комп'ютерних програм. У разі автоматизованого збору даних з вебсайтів називається вебскрейпінг.;Scraping;-
87;Система ШІ;Комп'ютерна програма, яка спроєктована для роботи з різними рівнями автономності та може проявляти адаптивність після розгортання, і котра для явних або неявних цілей робить висновок на основі отриманих вхідних даних, як генерувати результати (зокрема, прогнози, контент, рекомендації або рішення), які можуть впливати на фізичне або віртуальне середовище.;AI system;87
88;Синтетичні дані;Дані, згенеровані штучно за допомогою обчислювального процесу, а не зафіксовані сенсорними пристроями або створені вручну людьми.;Synthetic data;7, 25, 59, 63, 65, 90, 93, 98
89;Спостережуваність ШІ;Властивість системи піддаватися моніторингу, аналізу та візуалізації внутрішніх станів компонентів системи ШІ та входів і виходів моделей ШІ з метою отримання інформації про поведінку, продуктивність і вартість функціонування системи ШІ.;Observability;8, 17, 31, 42, 58, 66, 76, 78, 92
90;Структуровані дані;Дані, які мають попередньо визначену модель даних або організовані заздалегідь визначеним способом.;Structured data;57, 59, 63, 65
91;Справедливість;Принцип відповідального ШІ, що полягає в мінімізації упереджень та дискримінації ШІ щодо певних груп людей або характеристик.;Fairness;12, 21, 58, 78
92;Стійкість;Властивість системи ШІ, яка полягає в готовності й адаптивності до несприятливих обставин, зокрема обробці потенційно руйнівних вхідних даних, протистоянню атакам, інцидентам та іншим загрозам і відновлюванню робочого стану після них.;Resilience;8, 17, 31, 42, 58, 66, 76, 78, 89
93;Тестові або випробувальні дані;Дані, які використовуються для надання незалежної оцінки навченої та валідованої системи ШІ, щоб підтвердити очікувану якість цієї системи перед її виведенням на ринок або введенням в експлуатацію.;Testing data;7, 9, 14, 16, 52, 57, 59, 63, 65, 88, 90, 98
94;Токен;Найменша смислова одиниця тексту, що використовується для обробки природної мови, зокрема, великими мовними моделями.;Token;15, 24, 25, 26, 33, 41, 46, 56, 69
95;Тонке налаштування;Процес адаптації попередньо навченої моделі машинного навчання до специфічного завдання чи предметної сфери шляхом додаткового навчання на невеликому наборі цільових даних.;Fine tuning;52, 55
96;Точність;Як характеристика системи ШІ: Здатність системи ШІ надавати результати, близькі до еталонних значень або очікуваного результату. Як метрика: Оцінка якості моделі, що вимірює відношення кількості правильних результатів до загальної кількості виданих результатів.;Accuracy;37, 38, 54, 55, 79, 73, 97, 102, 103
97;Точність (прецизійність);Метрика, яка використовується для вимірювання точності позитивних прогнозів моделі.;Precision;37, 38, 54, 79, 73, 96, 102, 103
98;Тренувальні дані;Дані, які використовуються для навчання системи ШІ шляхом оптиміз;Training data;7, 9, 14, 16, 52, 57, 59, 63, 65, 88, 90, 93
99;Упередження (алгоритмічні упередження);Диференційоване ставлення системи ШІ до різних груп. Див. також «шкідливі упередження» та «дискримінація».;AI Bias or Algorithmic Bias;32, 104
100;Федеративне навчання;Підхід до машинного навчання, який розв'язує проблеми управління даними та приватності, навчаючи алгоритми спільно без передачі даних до центрального сховища. Кожен федеративний пристрій навчається на локальних даних і передає свої локальні параметри моделі замість передачі навчальних даних.;Federated learning;52
101;Цільова функція (або функція втрат, або функція винагороди);Математична формула або неявний механізм, що надає одне число, яке використовується для оцінювання ступеню відповідності згенерованих моделлю даних бажаним результатам.;Loss function (cost function);55
102;Хибно позитивне;Випадок, для якого модель помилково передбачила позитивний клас, хоча насправді він був негативним.;False Positive (FP);37, 38, 54, 79, 73, 96, 97, 103
103;Хибно негативне;Випадок, для якого модель помилково передбачила негативний клас, хоча насправді він був позитивним.;False Negative (FN);37, 38, 54, 79, 73, 96, 97, 102
104;Шкідливі упередження;Упередження систем ШІ, які спричиняють негативний вплив, наприклад несправедливі чи дискримінаційні наслідки. Виникають внаслідок багатьох чинників, включаючи людські або системні рішення, культурні та соціальні упередження в навчальних даних, технічні обмеження або використання в непередбачених контекстах.;Harmful bias;32, 99
105;Штучна нейронна мережа (нейронна мережа, нейромережа);Модель, яка складається з одного або кількох шарів штучних нейронів, з'єднаних зваженими зв'язками з ваговими коефіцієнтами. Нейронна мережа перетворює вхідні дані, пропускаючи їх через себе, при цьому кожен нейрон виконує прості обчислення.;Neural network;29
106;Штучний інтелект (ШІ);Як галузь: Загальна назва сукупності інформаційних технологій, алгоритмів, методів, підходів, моделей та сервісів, що займаються створенням та розвитком інтелектуальних систем, здатних виконувати завдання, які зазвичай вимагають людського інтелекту.<br><br>Як інструмент: Організована сукупність інформаційних технологій, із застосуванням якої можливо виконувати складні комплексні завдання шляхом використання системи наукових методів досліджень і алгоритмів обробки інформації.;Artificial Intelligence (AI);-
